,No,Date,Weather,TempF,TempC,Humidity,Pressure,Location
0,0,2019-01-01,0,84,29,22,1019,Hyderabad
1,1,2019-01-02,0,86,30,28,1018,Hyderabad
2,2,2019-01-03,0,89,32,32,1019,Hyderabad
3,3,2019-01-04,0,85,30,32,1018,Hyderabad
4,4,2019-01-05,0,85,29,45,1017,Hyderabad
5,5,2019-01-06,0,83,28,52,1015,Hyderabad
6,6,2019-01-07,0,84,29,49,1015,Hyderabad
7,7,2019-01-08,0,84,29,38,1015,Hyderabad
8,8,2019-01-09,0,89,32,24,1015,Hyderabad
9,9,2019-01-10,0,87,31,25,1015,Hyderabad
10,10,2019-01-11,0,83,29,54,1015,Hyderabad
11,11,2019-01-12,0,84,29,57,1015,Hyderabad
12,12,2019-01-13,0,83,29,54,1015,Hyderabad
13,13,2019-01-14,0,84,29,51,1014,Hyderabad
14,14,2019-01-15,0,84,29,43,1015,Hyderabad
15,15,2019-01-16,0,87,31,33,1015,Hyderabad
16,16,2019-01-17,0,89,32,41,1014,Hyderabad
17,17,2019-01-18,0,87,31,44,1014,Hyderabad
18,18,2019-01-19,0,85,29,42,1015,Hyderabad
19,19,2019-01-20,0,87,31,36,1016,Hyderabad
20,20,2019-01-21,0,86,30,40,1014,Hyderabad
21,21,2019-01-22,0,87,31,38,1014,Hyderabad
22,22,2019-01-23,0,87,31,51,1014,Hyderabad
23,23,2019-01-24,0,86,30,52,1014,Hyderabad
24,24,2019-01-25,1,81,27,60,1013,Hyderabad
25,25,2019-01-26,1,83,28,65,1014,Hyderabad
26,26,2019-01-27,1,77,25,73,1015,Hyderabad
27,27,2019-01-28,1,75,24,68,1017,Hyderabad
28,28,2019-01-29,0,78,26,45,1017,Hyderabad
29,29,2019-01-30,0,84,29,24,1017,Hyderabad
30,30,2019-01-31,0,80,27,49,1016,Hyderabad
31,31,2019-02-01,0,83,28,61,1015,Hyderabad
32,32,2019-02-02,0,83,29,51,1014,Hyderabad
33,33,2019-02-03,0,83,28,52,1015,Hyderabad
34,34,2019-02-04,0,84,29,54,1017,Hyderabad
35,35,2019-02-05,0,86,30,44,1016,Hyderabad
36,36,2019-02-06,0,87,31,41,1013,Hyderabad
37,37,2019-02-07,0,88,31,43,1012,Hyderabad
38,38,2019-02-08,1,83,28,53,1013,Hyderabad
39,39,2019-02-09,0,88,31,41,1014,Hyderabad
40,40,2019-02-10,0,89,32,28,1016,Hyderabad
41,41,2019-02-11,0,84,29,60,1016,Hyderabad
42,42,2019-02-12,0,86,30,58,1017,Hyderabad
43,43,2019-02-13,0,88,31,48,1017,Hyderabad
44,44,2019-02-14,0,91,33,43,1015,Hyderabad
45,45,2019-02-15,0,91,33,42,1013,Hyderabad
46,46,2019-02-16,0,93,34,38,1013,Hyderabad
47,47,2019-02-17,0,92,34,48,1012,Hyderabad
48,48,2019-02-18,0,95,35,44,1011,Hyderabad
49,49,2019-02-19,0,94,34,48,1011,Hyderabad
50,50,2019-02-20,0,92,33,50,1014,Hyderabad
51,51,2019-02-21,0,93,34,38,1016,Hyderabad
52,52,2019-02-22,0,96,35,32,1014,Hyderabad
53,53,2019-02-23,0,98,37,27,1012,Hyderabad
54,54,2019-02-24,0,98,37,22,1010,Hyderabad
55,55,2019-02-25,0,96,36,23,1009,Hyderabad
56,56,2019-02-26,0,97,36,26,1008,Hyderabad
57,57,2019-02-27,1,94,35,52,1008,Hyderabad
58,58,2019-02-28,0,92,33,35,1009,Hyderabad
59,59,2019-03-01,1,91,33,43,1010,Hyderabad
60,60,2019-03-02,0,90,32,59,1011,Hyderabad
61,61,2019-03-03,0,91,33,52,1010,Hyderabad
62,62,2019-03-04,0,97,36,37,1008,Hyderabad
63,63,2019-03-05,0,96,36,29,1007,Hyderabad
64,64,2019-03-06,0,97,36,17,1008,Hyderabad
65,65,2019-03-07,0,100,38,19,1009,Hyderabad
66,66,2019-03-08,0,97,36,32,1010,Hyderabad
67,67,2019-03-09,0,99,37,37,1011,Hyderabad
68,68,2019-03-10,0,101,38,40,1011,Hyderabad
69,69,2019-03-11,0,95,35,40,1012,Hyderabad
70,70,2019-03-12,0,94,34,35,1012,Hyderabad
71,71,2019-03-13,0,96,36,28,1012,Hyderabad
72,72,2019-03-14,0,98,37,21,1012,Hyderabad
73,73,2019-03-15,0,99,37,21,1012,Hyderabad
